-121.8585	-56.0263
-123.4362	-55.7176
-125.0792	-55.4501
-126.2028	-55.1368
-126.7877	-55.0641
-127.2263	-55.5612
-128.6192	-55.3211
-130.0468	-54.9317
-131.3743	-54.6232
-132.875	-54.2382
-134.2141	-53.8859
-135.2992	-53.6448
-136.1803	-53.3909
-136.5882	-53.9018
-137.5271	-53.6904
-137.8888	-53.5695
-138.793	-54.7145
-139.2509	-55.2554
-139.5742	-55.6177
-139.1855	-55.7241
-139.5395	-56.2664
-140.0475	-56.7716
-140.3207	-57.053
-142.0868	-56.6237
-143.3297	-56.2664
-144.4764	-55.9078
-144.8612	-55.7847
-145.977	-56.6723
-146.6774	-57.3116
-147.1737	-57.6406
-147.6932	-57.5519
-148.2819	-58.1315
-149.2631	-58.8176
-149.8172	-59.316
-150.3867	-59.722
-151.44	-59.439
