> 9788	NAZCA-ANTARCTIC
-76.7433	-45.7974
-76.7281	-45.8217
-76.7156	-45.8619
-76.7008	-45.8973
-76.6993	-45.9229
-76.6841	-45.9471
-76.6712	-45.9729
-76.6599	-45.9778
-76.5771	-45.968
-76.4781	-45.952
-76.3882	-45.9327
-76.2776	-45.9104
-76.1809	-45.896
-76.1095	-45.8828
-76.0382	-45.8727
-75.9728	-45.8391
